time,temperature,temperature_filtered
176.513,70.33,70.36506047727912
176.913,70.46,70.48022229486656
177.313,70.59,70.59208237986165
177.713,70.71,70.70843085975704
178.113,70.84,70.81177835893978
178.513,70.97,70.91350768224805
178.913,70.97,71.02144164759619
179.313,71.1,71.12839163125099
179.713,71.23,71.24759398496136
180.113,71.35,71.36198430859652
180.513,71.48,71.47164105916859
180.913,71.61,71.58438705459194
181.313,71.74,71.7080451127809
181.713,71.74,71.83242562928956
182.113,71.99,71.95673749591263
182.513,72.12,72.0825204315125
182.913,72.12,72.21075514874035
183.313,72.38,72.33125204315029
183.713,72.38,72.4582314481846
184.113,72.63,72.5737103628626
184.513,72.76,72.68966328865534
184.913,72.89,72.81360248447098
185.313,72.89,72.93481203007411
185.713,73.01,73.05430532853767
186.113,73.14,73.16863354037159
186.513,73.27,73.27846681922088
186.913,73.4,73.38893756129346
187.313,73.52,73.48932984635394
187.713,73.52,73.59978751225782
188.113,73.78,73.70145799280702
188.513,73.9,73.81305655442847
188.913,73.9,73.92944753187206
189.313,74.03,74.05077476299334
189.713,74.16,74.16635501797863
190.113,74.16,74.29044132069194
190.513,74.41,74.4061686825749
190.913,74.54,74.53225237005447
191.313,74.67,74.65856815952816
191.713,74.79,74.78439032363407
192.113,74.92,74.89959463876973
192.513,75.05,75.03106570774652
192.913,75.17,75.1609349460597
193.313,75.3,75.27860084994985
193.713,75.43,75.39237659365696
194.113,75.43,75.50386727688677
194.513,75.68,75.60152010460824
194.913,75.68,75.70408303367002
195.313,75.8,75.80645308924373
195.713,75.93,75.9088067996066
196.113,76.06,76.01132069303581
196.513,76.06,76.11615887544838
196.913,76.18,76.22349787512147
197.313,76.31,76.34078130107766
197.713,76.44,76.45830990519664
198.113,76.56,76.58482183720056
198.513,76.69,76.69204642039769
198.913,76.82,76.81725073553335
199.313,76.94,76.93272311212701
199.713,77.07,77.04542987904429
200.113,77.2,77.15740111147319
200.513,77.32,77.27066688460167
200.913,77.45,77.37409937888083
201.313,77.45,77.47514220333326
201.713,77.58,77.57595946387593
202.113,77.58,77.67672768878603
202.513,77.83,77.77818241255196
202.913,77.83,77.87379208891679
203.313,77.95,77.97649885583408
203.713,78.08,78.08518470088148
204.113,78.21,78.2010624387043
204.513,78.33,78.32534488394785
204.913,78.46,78.45691402418976
205.313,78.59,78.59698267407533
205.713,78.71,78.7417423994758
206.113,78.84,78.8879437724735
206.513,78.96,79.03090879372226
206.913,79.22,79.17768878718418
207.313,79.34,79.31819221967845
207.713,79.47,79.45540045766472
208.113,79.6,79.57961425302268
208.513,79.72,79.69286368094029
208.913,79.85,79.80211507028322
209.313,79.98,79.89809414841332
209.713,79.98,79.98325596600077
210.113,80.1,80.05772474664805
210.513,80.1,80.13122262177063
210.913,80.23,80.19343903236232
211.313,80.23,80.25950964367321
211.713,80.23,80.32310885910309
212.113,80.36,80.39477607061012
212.513,80.48,80.46592023536985
212.913,80.48,80.53933638443817
213.313,80.61,80.61781954887098
213.713,80.73,80.71177508989747
214.113,80.86,80.80130761686706
214.513,80.86,80.89647924158102
214.913,80.99,80.98835567178696
215.313,81.11,81.08691729323189
215.713,81.24,81.18370709382032
216.113,81.24,81.27568159529137
216.513,81.37,81.37200392284942
216.913,81.49,81.47422687152545
217.313,81.62,81.57217391304226
217.713,81.62,81.67458319712205
218.113,81.75,81.78202353710242
218.513,81.87,81.90375939849503
218.913,82.0,82.01875449493178
219.313,82.13,82.14211180124101
219.713,82.25,82.26309578293437
220.113,82.38,82.3841288002603
220.513,82.51,82.50261196469312
220.913,82.63,82.61650539391836
221.313,82.76,82.72590062111679
221.713,82.89,82.83322000653685
222.113,83.02,82.93586466165291
222.513,83.02,83.03123569793928
222.913,83.14,83.1208532200053
223.313,83.14,83.2135044132057
223.713,83.27,83.29974828375164
224.113,83.4,83.38097090552345
224.513,83.4,83.46725400457542
224.913,83.52,83.55681595292455
225.313,83.65,83.6401307616856
225.713,83.78,83.72138934292128
226.113,83.78,83.8100621118
226.513,83.91,83.89795031055777
226.913,84.03,83.98412226217594
227.313,84.03,84.06674403399678
227.713,84.16,84.13814318404583
228.113,84.29,84.21592677345413
228.513,84.29,84.2924223602472
228.913,84.29,84.35852893102197
229.313,84.42,84.43098398169211
229.713,84.54,84.50211507028315
230.113,84.54,84.57542007191769
