time,temperature,temperature_filtered
96.192,61.08,61.10795357960028
96.592,61.22,61.237162471394974
96.992,61.35,61.36421379535705
97.392,61.49,61.490778032035706
97.792,61.63,61.61709709055155
98.192,61.76,61.75123896698176
98.592,61.9,61.88325923504323
98.992,62.04,62.01385746976044
99.392,62.17,62.13256292906087
99.792,62.31,62.247476299443335
100.192,62.31,62.35943118666138
100.592,62.44,62.46982020267969
100.992,62.58,62.5789506374623
101.392,62.71,62.68768878718443
101.792,62.85,62.80472703497783
102.192,62.85,62.91966001961332
102.592,62.98,63.03238313174146
102.992,63.12,63.145681595291634
103.392,63.25,63.260912062764675
103.792,63.39,63.37800261523279
104.192,63.52,63.499771167047115
104.592,63.65,63.61497548218278
104.992,63.79,63.730944753186364
105.392,63.92,63.85007191892681
105.792,63.92,63.972419091205325
106.192,64.05,64.09950964367346
106.592,64.19,64.21970905524586
106.992,64.32,64.33995423340866
107.392,64.45,64.45497875122493
107.792,64.59,64.57575678326155
108.192,64.72,64.70299444262734
108.592,64.85,64.83596927100263
108.992,64.99,64.9739588100677
109.392,65.12,65.11857142857048
109.792,65.25,65.26908466819127
110.192,65.38,65.41360575351325
110.592,65.51,65.55881333769109
110.992,65.65,65.70502124877314
111.392,65.91,65.85111474337921
111.792,66.04,66.00380516508565
112.192,66.17,66.15213468453645
112.592,66.3,66.29544622425533
112.992,66.44,66.43364171297712
113.392,66.57,66.57479241582118
113.792,66.7,66.70696959790682
114.192,66.83,66.83053285387282
114.592,66.96,66.94584177835794
114.992,67.09,67.05325596600098
115.392,67.22,67.15403726707976
115.792,67.22,67.25248120300652
116.192,67.35,67.36070938215002
116.592,67.48,67.46780974174467
116.992,67.61,67.57459954233309
117.392,67.61,67.68279830009708
117.792,67.74,67.7926969597898
118.192,67.87,67.89787839163024
118.592,68.0,68.01776397515428
118.992,68.13,68.14147433801794
119.392,68.26,68.26985943118564
119.792,68.52,68.40376920562174
120.192,68.52,68.5328832951935
120.592,68.65,68.66402419091105
120.992,68.78,68.79764955867829
121.392,68.91,68.9342170643991
121.792,69.04,69.06245505066913
122.192,69.3,69.1896632886554
122.592,69.3,69.31587446877963
122.992,69.43,69.44168028767469
123.392,69.56,69.56624387054491
123.792,69.69,69.68963059823369
124.192,69.81,69.82363517489273
124.592,69.94,69.94975155279398
124.992,70.07,70.07587119973742
125.392,70.2,70.20118993134906
125.792,70.33,70.32580581889403
126.192,70.46,70.44981693363741
126.592,70.59,70.5850506701526
126.992,70.71,70.72030075187865
127.392,70.84,70.84491990846577
127.792,70.97,70.96986596926995
128.192,71.1,71.09526969597802
128.592,71.23,71.22091860084889
128.992,71.35,71.34660019614148
129.392,71.48,71.47971232428792
129.792,71.61,71.60908139914899
130.192,71.74,71.73526315789368
130.592,71.87,71.85937234390218
130.992,71.87,71.9810951291261
131.392,72.12,72.10011768551708
131.792,72.25,72.21755475645529
132.192,72.38,72.33452108532092
132.592,72.5,72.4507028440656
132.992,72.63,72.56668846028006
133.392,72.63,72.68272311212706
133.792,72.76,72.79905197776944
134.192,72.89,72.92353056554322
134.592,73.01,73.04544295521303
134.992,73.14,73.166361556063
135.392,73.27,73.2747008826403
135.792,73.4,73.38917620137191
136.192,73.52,73.50409284079656
136.592,73.65,73.62102321019833
136.992,73.78,73.73920889179362
137.392,73.9,73.86022229486652
137.792,74.03,73.97390650539282
138.192,74.03,74.08724746649122
138.592,74.16,74.20086629617413
138.992,74.28,74.31504086302603
139.392,74.41,74.43004903563146
139.792,74.54,74.53980385746866
140.192,74.67,74.65536122915876
140.592,74.79,74.77660673422577
140.992,74.92,74.90342595619373
141.392,75.05,75.03604772801458
141.792,75.17,75.17435763321237
142.192,75.3,75.31824125531108
142.592,75.43,75.45619810395443
142.992,75.55,75.59585812356868
143.392,75.68,75.73525335076711
143.792,75.93,75.87474664923066
144.192,76.06,76.00743380189492
144.592,76.18,76.15082052958371
144.992,76.31,76.2921118012411
145.392,76.44,76.43222948675924
145.792,76.56,76.5701078783905
146.192,76.69,76.71194834913256
146.592,76.82,76.8473684210515
146.992,76.94,76.97572736188182
147.392,77.07,77.09638443935812
147.792,77.2,77.21739457338884
148.192,77.45,77.33906832298021
148.592,77.45,77.45487414187528
148.992,77.58,77.56498855835125
149.392,77.7,77.67828375285926
149.792,77.83,77.785060477279
150.192,77.83,77.88501797973078
150.592,77.95,77.98074534161375
150.992,78.08,78.07284406668731
151.392,78.21,78.16918273945618
151.792,78.21,78.26048708728227
152.192,78.33,78.34921216083572
152.592,78.46,78.45447858777263
152.992,78.59,78.54886564236563
153.392,78.59,78.64196142530122
153.792,78.71,78.73574370709265
154.192,78.84,78.83219025825316
154.592,78.96,78.92189277541563
154.992,79.09,79.01367113435647
155.392,79.09,79.10907813010671
155.792,79.22,79.21000980712533
156.192,79.34,79.30719189277424
156.592,79.34,79.40759071591906
156.992,79.47,79.51379535795894
157.392,79.6,79.62640732265328
157.792,79.72,79.7352010460923
158.192,79.85,79.84817914350975
158.592,79.98,79.96607714939404
158.992,80.1,80.08907159202235
159.392,80.23,80.22603465184581
159.792,80.36,80.35553775743588
160.192,80.48,80.48502451781508
160.592,80.61,80.61467146126066
160.992,80.73,80.74162144491545
161.392,80.86,80.85575024517696
161.792,80.99,80.97580581889386
162.192,81.11,81.0902353710351
162.592,81.24,81.2012030075176
162.992,81.37,81.30888525661861
163.392,81.37,81.41345864661535
163.792,81.49,81.51708728342476
164.192,81.62,81.61994769532406
164.592,81.75,81.72221641059048
164.992,81.75,81.83276560967515
165.392,82.0,81.93372670807332
165.792,82.0,82.0447989539053
166.192,82.13,82.15572409283958
166.592,82.25,82.26707093821388
166.992,82.38,82.3881039555398
167.392,82.51,82.50951618175752
167.792,82.63,82.62057208237864
168.192,82.76,82.72910755148618
168.592,82.89,82.83711997384643
168.992,82.89,82.94660673422565
169.392,83.14,83.05367440339857
169.792,83.14,83.16615887544828
170.192,83.27,83.26748610656955
170.592,83.4,83.36636155606286
170.992,83.4,83.45661327230998
171.392,83.52,83.55790781300956
171.792,83.65,83.65268715266303
172.192,83.78,83.75335076822367
172.592,83.91,83.86056881333646
172.992,84.03,83.97535469107427
173.392,84.03,84.08699248120176
173.792,84.16,84.21472376593532
174.192,84.29,84.34022229486635
174.592,84.42,84.47134357633088
174.992,84.67,84.60867603791964
175.392,84.67,84.74107878391506
