time,power ratio,temperature
421.044,0.1,83.91
421.544,0.1,83.78
422.044,0.1,83.91
422.544,0.1,83.91
423.044,0.1,84.42
423.544,0.1,84.03
424.044,0.1,84.03
424.544,0.1,84.42
425.044,0.1,84.03
425.544,0.1,84.03
426.044,0.1,84.03
426.544,0.1,84.16
427.044,0.1,83.91
427.544,0.1,84.16
428.044,0.1,84.29
428.544,0.1,83.91
429.044,0.1,84.03
429.544,0.1,83.78
430.044,0.1,84.03
430.544,0.1,84.03
431.044,0.1,83.91
431.544,0.1,84.16
432.044,0.1,84.16
432.544,0.1,84.16
433.044,0.1,83.91
433.544,0.1,84.29
434.044,0.1,84.03
434.544,0.1,84.16
435.044,0.1,84.16
435.544,0.1,84.29
436.044,0.1,84.03
436.544,0.1,84.03
437.044,0.1,84.16
437.544,0.1,84.54
438.044,0.1,84.16
438.544,0.1,84.03
439.044,0.1,84.03
439.544,0.1,84.03
440.044,0.1,84.29
440.544,0.1,84.29
441.044,0.1,84.16
441.544,0.1,84.42
442.044,0.1,84.16
442.544,0.1,84.16
443.044,0.1,84.29
443.544,0.1,84.42
444.044,0.1,84.29
444.544,0.1,84.16
445.044,0.1,84.29
445.544,0.1,84.16
446.044,0.1,84.42
446.544,0.1,84.67
447.044,0.1,84.29
447.544,0.1,84.16
448.044,0.1,84.42
448.544,0.1,84.29
449.044,0.1,84.29
449.544,0.1,84.16
450.044,0.1,84.03
450.544,0.1,84.03
451.044,0.1,84.03
451.544,0.1,84.54
452.044,0.1,84.03
452.544,0.1,84.03
453.044,0.1,84.03
453.544,0.1,84.16
454.044,0.1,84.54
454.544,0.1,84.03
455.044,0.1,84.16
455.544,0.1,84.16
456.044,0.1,84.29
456.544,0.1,83.91
457.044,0.1,84.16
457.544,0.1,84.16
458.044,0.1,84.29
458.544,0.1,84.67
459.044,0.1,84.42
459.544,0.1,84.03
460.044,0.1,84.54
460.544,0.1,84.42
461.044,0.1,84.29
461.544,0.1,84.42
462.044,0.1,84.42
462.544,0.1,84.42
463.044,0.1,84.8
463.544,0.1,84.67
464.044,0.1,84.54
464.544,0.1,84.8
465.044,0.1,84.54
465.544,0.1,84.29
466.044,0.1,84.8
466.544,0.1,84.8
467.044,0.1,84.8
467.544,0.1,84.54
468.044,0.1,84.67
468.544,0.1,84.54
469.044,0.1,84.54
469.544,0.1,84.54
470.044,0.1,84.54
470.544,0.1,84.67
471.044,0.1,84.67
471.544,0.1,84.8
472.044,0.1,84.67
472.544,0.1,84.67
473.044,0.1,84.8
473.544,0.1,84.67
474.044,0.1,84.67
474.544,0.1,84.67
475.044,0.1,84.67
475.544,0.0,84.67
476.044,0.0,84.93
476.544,0.0,84.93
477.044,0.0,84.93
477.544,0.0,84.54
478.044,0.0,84.8
478.544,0.0,84.67
479.044,0.0,84.67
479.544,0.0,84.8
480.044,0.0,84.67
480.544,0.0,84.67
481.044,0.0,84.67
481.544,0.0,84.8
482.044,0.0,84.67
482.544,0.0,84.67
483.044,0.0,84.54
483.544,0.0,84.54
484.044,0.0,84.67
484.544,0.0,84.42
485.044,0.0,84.8
485.544,0.1,84.8
486.044,0.1,84.54
486.544,0.1,84.67
487.044,0.1,85.05
487.544,0.1,84.8
488.044,0.0,84.54
488.544,0.0,84.54
489.044,0.0,84.93
489.544,0.0,84.67
490.044,0.0,84.67
490.544,0.1,85.05
491.044,0.1,84.93
491.544,0.1,84.67
492.044,0.1,84.67
492.544,0.1,84.67
493.044,0.1,84.67
493.544,0.1,84.67
494.044,0.1,84.93
494.544,0.1,85.05
495.044,0.1,84.42
495.544,0.0,84.54
496.044,0.0,84.67
496.544,0.0,84.8
497.044,0.0,84.8
497.544,0.0,84.67
498.044,0.1,85.05
498.544,0.1,84.67
499.044,0.1,84.54
499.544,0.1,84.29
500.044,0.1,84.67
500.544,0.1,84.93
501.044,0.1,84.93
501.544,0.1,84.54
502.044,0.1,84.42
502.544,0.1,84.29
503.044,0.1,84.42
503.544,0.1,84.42
504.044,0.1,84.29
504.544,0.1,84.67
505.044,0.1,84.8
505.544,0.1,84.42
506.044,0.1,84.42
506.544,0.1,84.16
507.044,0.1,84.29
507.544,0.1,84.29
508.044,0.1,84.8
508.544,0.1,84.16
509.044,0.1,84.42
509.544,0.1,84.29
510.044,0.1,84.67
510.544,0.1,84.42
511.044,0.1,84.67
511.544,0.1,84.54
512.044,0.1,84.8
512.544,0.1,84.29
513.044,0.1,84.93
513.544,0.1,84.67
514.044,0.1,84.42
514.544,0.1,84.54
515.044,0.1,84.54
515.544,0.1,84.54
516.044,0.1,84.42
516.544,0.1,84.54
517.044,0.1,84.93
517.544,0.1,84.42
518.044,0.1,84.67
518.544,0.1,84.54
519.044,0.1,84.54
519.544,0.1,84.54
520.044,0.1,84.29
520.544,0.1,84.54
521.044,0.1,84.29
521.544,0.1,84.42
522.044,0.1,84.42
522.544,0.1,84.8
523.044,0.1,84.54
523.544,0.1,84.93
524.044,0.1,84.29
524.544,0.1,84.42
525.044,0.1,84.42
525.544,0.1,84.54
526.044,0.1,84.29
526.544,0.1,84.29
527.044,0.1,84.29
527.544,0.1,84.16
528.044,0.1,84.67
528.544,0.1,84.67
529.044,0.1,84.29
529.544,0.1,84.8
530.044,0.1,84.16
530.544,0.1,84.54
531.044,0.1,84.93
531.544,0.1,84.54
532.044,0.1,84.54
532.544,0.1,84.42
533.044,0.1,84.67
533.544,0.1,84.67
534.044,0.1,84.67
534.544,0.1,84.93
535.044,0.1,84.54
535.544,0.0,84.54
536.044,0.0,84.67
536.544,0.0,84.8
537.044,0.0,84.54
537.544,0.0,84.67
538.044,0.1,84.93
538.544,0.1,84.54
539.044,0.1,84.8
539.544,0.1,84.8
540.044,0.1,84.8
540.544,0.0,84.67
541.044,0.0,84.67
541.544,0.0,85.05
542.044,0.0,84.54
542.544,0.0,84.67
543.044,0.0,84.54
543.544,0.0,84.67
544.044,0.0,85.05
544.544,0.0,84.42
545.044,0.0,84.42
545.544,0.1,84.93
546.044,0.1,84.8
546.544,0.1,84.67
547.044,0.1,84.67
547.544,0.1,84.8
548.044,0.1,84.67
548.544,0.1,84.93
549.044,0.1,84.67
549.544,0.1,85.05
550.044,0.1,85.18
550.544,0.0,84.54
551.044,0.0,85.05
551.544,0.0,84.67
552.044,0.0,85.05
552.544,0.0,85.05
553.044,0.0,85.05
553.544,0.0,85.05
554.044,0.0,84.93
554.544,0.0,84.93
555.044,0.0,84.93
